article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,policy,policy.size,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,time.on.article,PID.pre
con_slight_Demopp,about $500 a month,expand,"about 50,000",12th,male,male,neither approve nor disapprove,slightly prefer complex problems,a lot,"slightly prefer big, long-term projects",dislike somewhat,neither like nor dislike,slightly more satisfied than relieved,MT,1986,Dem_opp,reduce,small,FALSE,TRUE,24,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,7,Dem
lib_large_nocue,"about $2,200 a month",expand,"about 100,000",some college,female,female,approve somewhat,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",neither like nor dislike,neither like nor dislike,somewhat more satisfied than relieved,GA,1955,no_cue,expand,large,TRUE,FALSE,55,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,326,Rep
lib_large_nocue,"about $2,200 a month",expand,about 1 million,Ph.D.,male,male,approve strongly,somewhat prefer complex problems,a great deal,"slightly prefer small, daily projects",like a lot,like a lot,much more satisfied than relieved,WI,1925,no_cue,expand,large,FALSE,TRUE,85,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,215,Dem
lib_slight_Demopp,"about $1,600 a month",neither,"about 500,000",some college,female,female,approve slightly,slightly prefer complex problems,a lot,no preference,neither like nor dislike,like a little,relief and satisfaction to the same degree,FL,1940,Dem_opp,expand,small,TRUE,FALSE,70,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,197,Dem
lib_large_Demopp,"about $1,300 a month",neither,"about 100,000",NA,male,Male,neither approve nor disapprove,slightly prefer simple problems,a lot,no preference,dislike a little,neither like nor dislike,relief and satisfaction to the same degree,TN,1952,Dem_opp,expand,large,FALSE,TRUE,58,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,21,Dem
lib_slight_nocue,"about $1,600 a month",expand,about 1 million,B.A.,male,male,disapprove strongly,no preference,a lot,"greatly prefer small, daily projects",like somewhat,like a lot,somewhat more satisfied than relieved,MI,1939,no_cue,expand,small,FALSE,TRUE,71,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,257,Rep
lib_large_nocue,"about $1,300 a month",expand,"about 100,000",12th,female,female,approve somewhat,slightly prefer simple problems,a moderate amount,"slightly prefer small, daily projects",dislike a little,dislike a little,somewhat more relieved than satisfied,MN,1930,no_cue,expand,large,TRUE,FALSE,80,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,264,Dem
con_slight_nocue,"about $1,300 a month",expand,"about 50,000",B.A.,female,female,approve somewhat,somewhat prefer complex problems,a lot,"greatly prefer big, long-term projects",like somewhat,like a lot,much more satisfied than relieved,IL,1959,no_cue,reduce,small,TRUE,FALSE,51,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,30,Dem
lib_large_nocue,"about $2,200 a month",expand,"about 500,000",M.A.,male,Male,disapprove strongly,greatly prefer complex problems,a great deal,"greatly prefer big, long-term projects",like somewhat,like a lot,much more satisfied than relieved,GA,1930,no_cue,expand,large,FALSE,TRUE,80,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,225,Rep
con_large_nocue,about $500 a month,reduce,"about 100,000",B.A.,female,female,disapprove slightly,no preference,a moderate amount,no preference,dislike a little,like a little,somewhat more satisfied than relieved,TX,1956,no_cue,reduce,large,TRUE,FALSE,54,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,274,Rep
con_large_nocue,"about $1,300 a month",reduce,"about 100,000",B.A.,female,female,disapprove slightly,somewhat prefer complex problems,a lot,"somewhat prefer big, long-term projects",like a lot,like a lot,somewhat more satisfied than relieved,TX,1986,no_cue,reduce,large,TRUE,FALSE,24,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,156,Dem
lib_slight_nocue,"about $1,300 a month",neither,"about 500,000",some college,female,female,neither approve nor disapprove,no preference,a great deal,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,KY,1967,no_cue,expand,small,TRUE,FALSE,43,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,54,Rep
lib_slight_nocue,"about $1,600 a month",expand,"about 50,000",12th,female,female,disapprove somewhat,no preference,a lot,no preference,neither like nor dislike,like a little,relief and satisfaction to the same degree,PA,1934,no_cue,expand,small,TRUE,FALSE,76,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,186,Rep
con_slight_nocue,NA,NA,NA,some college,female,Female,neither approve nor disapprove,NA,a moderate amount,NA,NA,like a little,NA,NY,1990,no_cue,reduce,small,TRUE,FALSE,20,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,483,Dem
lib_slight_Demopp,"about $1,600 a month",expand,about 1 million,"M.B.A., M.D., or J.D.",female,female,approve slightly,somewhat prefer complex problems,a lot,no preference,dislike somewhat,like a lot,much more satisfied than relieved,ME,1965,Dem_opp,expand,small,TRUE,FALSE,45,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,200,Dem
con_large_nocue,"about $1,300 a month",reduce,about 1 million,B.A.,female,Female,approve slightly,slightly prefer complex problems,a lot,no preference,like a lot,like a lot,slightly more satisfied than relieved,AZ,1951,no_cue,reduce,large,TRUE,FALSE,59,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,258,Rep
lib_slight_nocue,"about $1,600 a month",expand,"about 500,000",NA,female,F,disapprove somewhat,somewhat prefer simple problems,a moderate amount,"slightly prefer big, long-term projects",dislike a little,dislike a little,slightly more relieved than satisfied,AZ,1951,no_cue,expand,small,TRUE,FALSE,59,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,326,Rep
con_slight_nocue,"about $1,300 a month",neither,"about 10,000",NA,female,female,approve strongly,slightly prefer simple problems,a lot,no preference,neither like nor dislike,neither like nor dislike,much more satisfied than relieved,CA,1964,no_cue,reduce,small,TRUE,FALSE,46,TRUE,NA,FALSE,FALSE,FALSE,TRUE,West,132,Rep
con_slight_nocue,"about $1,000 a month",reduce,about 1 million,B.A.,male,male,neither approve nor disapprove,somewhat prefer complex problems,a great deal,"greatly prefer big, long-term projects",like a lot,like a lot,somewhat more satisfied than relieved,CA,1964,no_cue,reduce,small,FALSE,TRUE,46,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,71,Rep
lib_slight_Demopp,"about $2,200 a month",expand,"about 100,000",some college,male,Male,approve slightly,somewhat prefer complex problems,a little,"somewhat prefer small, daily projects",dislike a little,like somewhat,relief and satisfaction to the same degree,UT,1987,Dem_opp,expand,small,FALSE,TRUE,23,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,33,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 100,000","M.B.A., M.D., or J.D.",female,Female,disapprove strongly,slightly prefer complex problems,a moderate amount,"slightly prefer small, daily projects",neither like nor dislike,like a little,somewhat more relieved than satisfied,CA,1975,no_cue,reduce,small,TRUE,FALSE,35,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,229,Dem
con_slight_Demopp,"about $1,600 a month",reduce,about 1 million,M.A.,male,man,disapprove somewhat,greatly prefer simple problems,a great deal,"greatly prefer small, daily projects",dislike somewhat,like a lot,relief and satisfaction to the same degree,FL,1946,Dem_opp,reduce,small,FALSE,TRUE,64,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,114,Dem
lib_slight_nocue,"about $2,200 a month",expand,"about 500,000",M.A.,female,female,disapprove strongly,no preference,a moderate amount,"slightly prefer small, daily projects",neither like nor dislike,neither like nor dislike,slightly more relieved than satisfied,GA,1972,no_cue,expand,small,TRUE,FALSE,38,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,118,Rep
con_slight_Demopp,"about $1,300 a month",reduce,"about 100,000",some college,male,male,disapprove strongly,somewhat prefer complex problems,a little,"slightly prefer small, daily projects",dislike a lot,dislike somewhat,somewhat more relieved than satisfied,MN,1984,Dem_opp,reduce,small,FALSE,TRUE,26,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,141,Dem
lib_large_nocue,"about $2,200 a month",expand,"about 500,000",some college,female,female,disapprove slightly,slightly prefer simple problems,a moderate amount,"greatly prefer small, daily projects",dislike somewhat,neither like nor dislike,somewhat more relieved than satisfied,IL,1952,no_cue,expand,large,TRUE,FALSE,58,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,182,Rep
lib_large_Demopp,"about $1,300 a month",reduce,"about 100,000",12th,male,male,disapprove slightly,somewhat prefer complex problems,a moderate amount,"slightly prefer big, long-term projects",dislike somewhat,neither like nor dislike,relief and satisfaction to the same degree,TX,1990,Dem_opp,expand,large,FALSE,TRUE,20,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,692,Rep
con_slight_nocue,"about $1,600 a month",reduce,"about 10,000",NA,female,female,disapprove strongly,somewhat prefer complex problems,a lot,"slightly prefer small, daily projects",like somewhat,like somewhat,somewhat more satisfied than relieved,FL,1988,no_cue,reduce,small,TRUE,FALSE,22,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,193,Dem
con_slight_nocue,"about $1,000 a month",expand,NA,12th,female,female,disapprove somewhat,no preference,a lot,no preference,neither like nor dislike,like somewhat,somewhat more satisfied than relieved,IA,1978,no_cue,reduce,small,TRUE,FALSE,32,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,182,Dem
lib_slight_Demopp,"about $2,200 a month",expand,"about 500,000",NA,female,female,disapprove strongly,slightly prefer complex problems,a moderate amount,"slightly prefer big, long-term projects",neither like nor dislike,like a little,slightly more satisfied than relieved,WV,1941,Dem_opp,expand,small,TRUE,FALSE,69,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,169,Rep
lib_slight_nocue,"about $1,600 a month",expand,"about 10,000",12th,female,Female,approve somewhat,somewhat prefer simple problems,a moderate amount,"slightly prefer big, long-term projects",dislike a little,neither like nor dislike,somewhat more relieved than satisfied,GA,1961,no_cue,expand,small,TRUE,FALSE,49,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,163,Rep
con_large_Demopp,"about $1,000 a month",reduce,"about 50,000",B.A.,male,male,disapprove strongly,no preference,a great deal,no preference,like somewhat,like somewhat,somewhat more satisfied than relieved,CT,1941,Dem_opp,reduce,large,FALSE,TRUE,69,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,273,Dem
lib_slight_nocue,"about $1,600 a month",expand,about 1 million,12th,male,male,approve slightly,no preference,a moderate amount,no preference,dislike a little,neither like nor dislike,relief and satisfaction to the same degree,MA,1953,no_cue,expand,small,FALSE,TRUE,57,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Northeast,230,Dem
con_slight_Demopp,"about $1,300 a month",reduce,"about 100,000",12th,male,male,approve strongly,slightly prefer complex problems,a great deal,"greatly prefer big, long-term projects",like somewhat,like somewhat,somewhat more satisfied than relieved,CA,1991,Dem_opp,reduce,small,FALSE,TRUE,19,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,96,Rep
lib_large_nocue,"about $1,000 a month",expand,"about 10,000",B.A.,male,male,neither approve nor disapprove,slightly prefer complex problems,a little,no preference,neither like nor dislike,like a little,slightly more satisfied than relieved,CA,1963,no_cue,expand,large,FALSE,TRUE,47,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,16,Rep
lib_slight_nocue,"about $2,200 a month",neither,"about 10,000",12th,female,female,approve somewhat,no preference,a moderate amount,no preference,dislike somewhat,neither like nor dislike,much more relieved than satisfied,WA,1960,no_cue,expand,small,TRUE,FALSE,50,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,241,Dem
lib_slight_nocue,"about $1,600 a month",expand,"about 50,000",12th,female,femal,approve somewhat,no preference,a moderate amount,no preference,neither like nor dislike,like a lot,relief and satisfaction to the same degree,GA,1953,no_cue,expand,small,TRUE,FALSE,57,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,1194,Dem
con_slight_nocue,"about $1,000 a month",reduce,"about 50,000",B.A.,male,male,disapprove somewhat,somewhat prefer complex problems,a lot,"slightly prefer big, long-term projects",like a little,like somewhat,relief and satisfaction to the same degree,SC,1963,no_cue,reduce,small,FALSE,TRUE,47,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,23,Dem
con_slight_nocue,"about $1,000 a month",neither,"about 100,000",B.A.,male,m,neither approve nor disapprove,slightly prefer simple problems,a moderate amount,no preference,like somewhat,like somewhat,much more relieved than satisfied,OK,1951,no_cue,reduce,small,FALSE,TRUE,59,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,1933,Rep
con_slight_Demopp,about $500 a month,expand,about 1 million,12th,male,male,approve slightly,greatly prefer simple problems,a little,no preference,dislike somewhat,neither like nor dislike,relief and satisfaction to the same degree,TN,1990,Dem_opp,reduce,small,FALSE,TRUE,20,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,13,Rep
con_slight_nocue,"about $1,300 a month",neither,"about 500,000",B.A.,female,female,disapprove slightly,slightly prefer complex problems,a moderate amount,"slightly prefer small, daily projects",like a little,like somewhat,slightly more satisfied than relieved,NJ,1957,no_cue,reduce,small,TRUE,FALSE,53,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,155,Dem
con_slight_nocue,"about $1,300 a month",neither,"about 50,000",NA,male,male,neither approve nor disapprove,slightly prefer simple problems,a moderate amount,"slightly prefer big, long-term projects",like a little,like a little,somewhat more relieved than satisfied,TN,1985,no_cue,reduce,small,FALSE,TRUE,25,TRUE,NA,FALSE,FALSE,TRUE,FALSE,South,56,Rep
lib_slight_nocue,"about $1,300 a month",reduce,"about 50,000",B.A.,male,Mail,disapprove strongly,greatly prefer complex problems,a great deal,"greatly prefer big, long-term projects",like a lot,like a lot,much more satisfied than relieved,WI,1985,no_cue,expand,small,FALSE,TRUE,25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,87,Dem
lib_large_nocue,"about $2,200 a month",reduce,"about 100,000",NA,female,Female,disapprove somewhat,greatly prefer complex problems,a great deal,"somewhat prefer small, daily projects",like a lot,like a lot,slightly more satisfied than relieved,WI,1966,no_cue,expand,large,TRUE,FALSE,44,TRUE,NA,FALSE,TRUE,FALSE,FALSE,North Central,157,Dem
con_slight_nocue,"about $1,000 a month",reduce,"about 100,000",12th,female,f,disapprove somewhat,slightly prefer simple problems,a little,"slightly prefer big, long-term projects",dislike a little,neither like nor dislike,relief and satisfaction to the same degree,OH,1960,no_cue,reduce,small,TRUE,FALSE,50,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,343,Rep
con_slight_Demopp,"about $1,000 a month",reduce,"about 100,000",some college,female,female,disapprove strongly,no preference,a moderate amount,no preference,like somewhat,like a lot,somewhat more relieved than satisfied,LA,1986,Dem_opp,reduce,small,TRUE,FALSE,24,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,154,Dem
lib_large_nocue,"about $2,200 a month",expand,about 1 million,12th,male,male,approve strongly,slightly prefer simple problems,a moderate amount,no preference,dislike somewhat,dislike a little,relief and satisfaction to the same degree,FL,1944,no_cue,expand,large,FALSE,TRUE,66,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,170,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 100,000",M.A.,male,male,disapprove somewhat,somewhat prefer complex problems,a lot,"slightly prefer small, daily projects",dislike a little,neither like nor dislike,somewhat more satisfied than relieved,NJ,1948,no_cue,reduce,small,FALSE,TRUE,62,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,75,Dem
lib_slight_Demopp,"about $1,000 a month",neither,"about 500,000",some college,male,male,approve slightly,no preference,a lot,"slightly prefer big, long-term projects",neither like nor dislike,like somewhat,relief and satisfaction to the same degree,OH,1968,Dem_opp,expand,small,FALSE,TRUE,42,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,38,Dem
con_slight_nocue,"about $1,300 a month",reduce,"about 10,000",some college,female,female,disapprove slightly,slightly prefer simple problems,a moderate amount,no preference,dislike a lot,neither like nor dislike,relief and satisfaction to the same degree,CA,1968,no_cue,reduce,small,TRUE,FALSE,42,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,862,Dem
